epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8960.02,1.16529,0.60755,0.94737,0.92802,0.85628,0.9249,0.58961,1.17299,0.57999,0.94517,0.000990365,0.000990365,0.000990365
43,9184.07,1.13897,0.60467,0.93929,0.92428,0.86911,0.93235,0.60106,1.18188,0.56864,0.94787,0.000973861,0.000973861,0.000973861
44,9406.31,1.12172,0.58628,0.9427,0.92742,0.86707,0.93371,0.60747,1.14973,0.56117,0.94026,0.000957358,0.000957358,0.000957358
45,9631.14,1.10764,0.585,0.93898,0.92052,0.85913,0.92869,0.58868,1.19766,0.59469,0.96051,0.000940855,0.000940855,0.000940855
46,9855.61,1.10909,0.60112,0.93533,0.90881,0.88462,0.92817,0.60324,1.16368,0.57251,0.95399,0.000924352,0.000924352,0.000924352
47,10085,1.11999,0.59481,0.93397,0.91189,0.86371,0.92445,0.59908,1.16095,0.57799,0.94588,0.000907848,0.000907848,0.000907848
48,10313.5,1.11128,0.58715,0.93757,0.92455,0.87411,0.92598,0.59342,1.15613,0.55748,0.94568,0.000891345,0.000891345,0.000891345
49,10538.7,1.11531,0.58272,0.9347,0.93422,0.88072,0.933,0.59916,1.15407,0.55577,0.94021,0.000874842,0.000874842,0.000874842
50,10757.6,1.09563,0.5775,0.93557,0.92096,0.88188,0.93515,0.5998,1.14704,0.55831,0.94279,0.000858338,0.000858338,0.000858338
51,10979.2,1.11854,0.58648,0.93718,0.92069,0.8848,0.93372,0.59837,1.1518,0.5625,0.94195,0.000841835,0.000841835,0.000841835
52,11347,1.08798,0.57303,0.93096,0.91777,0.87643,0.93406,0.60026,1.15764,0.56698,0.94433,0.000825332,0.000825332,0.000825332
53,11825.5,1.085,0.56782,0.92984,0.90895,0.89273,0.93338,0.60847,1.15197,0.55356,0.94218,0.000808828,0.000808828,0.000808828
54,12238.6,1.09571,0.57038,0.93053,0.91638,0.87735,0.92521,0.58712,1.19762,0.56037,0.96179,0.000792325,0.000792325,0.000792325
55,12560.4,1.12435,0.57643,0.93515,0.91517,0.87893,0.92836,0.60712,1.13508,0.54871,0.94132,0.000775822,0.000775822,0.000775822
56,12875.4,1.08354,0.56276,0.92929,0.92831,0.86931,0.93307,0.612,1.14604,0.55345,0.94188,0.000759318,0.000759318,0.000759318
57,13204.2,1.09882,0.56384,0.93531,0.93216,0.87102,0.92781,0.60581,1.15654,0.5433,0.94249,0.000742815,0.000742815,0.000742815
58,13544,1.07825,0.55921,0.93386,0.93706,0.88551,0.9326,0.6076,1.15245,0.53774,0.94415,0.000726312,0.000726312,0.000726312
59,13893.3,1.07608,0.55877,0.92562,0.93611,0.87451,0.93114,0.60797,1.15997,0.55903,0.94431,0.000709809,0.000709809,0.000709809
60,14239.1,1.09059,0.56298,0.93204,0.91877,0.87788,0.9251,0.59739,1.16202,0.55641,0.94836,0.000693305,0.000693305,0.000693305
61,14572.5,1.08666,0.55951,0.92411,0.934,0.87991,0.9283,0.60165,1.14512,0.54468,0.94298,0.000676802,0.000676802,0.000676802
62,14886.4,1.0715,0.54829,0.92341,0.92835,0.89133,0.93218,0.60648,1.13968,0.54249,0.94428,0.000660299,0.000660299,0.000660299
63,15193.9,1.08023,0.54655,0.92268,0.90742,0.89446,0.93154,0.60413,1.13563,0.54302,0.94252,0.000643795,0.000643795,0.000643795
64,15502.5,1.06672,0.55308,0.9201,0.93276,0.87652,0.92992,0.61361,1.13415,0.53044,0.94242,0.000627292,0.000627292,0.000627292
65,15806,1.05852,0.54494,0.9182,0.91319,0.89811,0.93674,0.62119,1.13568,0.54252,0.93782,0.000610789,0.000610789,0.000610789
66,16102,1.0708,0.54353,0.92659,0.92617,0.87546,0.92911,0.60132,1.16038,0.54202,0.94043,0.000594286,0.000594286,0.000594286
67,16420.9,1.06173,0.54063,0.92037,0.95203,0.86047,0.93159,0.61614,1.12931,0.528,0.93705,0.000577782,0.000577782,0.000577782
68,16809.1,1.04906,0.5337,0.91976,0.94449,0.87145,0.93135,0.60845,1.14812,0.54234,0.94219,0.000561279,0.000561279,0.000561279
69,17250.2,1.0489,0.53355,0.91682,0.93688,0.86384,0.9285,0.59659,1.17585,0.54522,0.94258,0.000544776,0.000544776,0.000544776
70,17766.6,1.05374,0.53141,0.9228,0.94284,0.87248,0.92489,0.6133,1.13769,0.53635,0.93398,0.000528272,0.000528272,0.000528272
71,18065.3,1.03541,0.52862,0.91267,0.94606,0.86839,0.93109,0.6158,1.13534,0.52941,0.93692,0.000511769,0.000511769,0.000511769
72,18385.6,1.05127,0.53441,0.91763,0.93392,0.86256,0.92424,0.60993,1.15467,0.53775,0.94084,0.000495266,0.000495266,0.000495266
73,18634.3,1.0398,0.52796,0.91888,0.94091,0.87114,0.92736,0.61262,1.14573,0.53348,0.94012,0.000478762,0.000478762,0.000478762
74,18920.1,1.03727,0.51969,0.91721,0.94151,0.87785,0.92964,0.61859,1.12608,0.52008,0.9374,0.000462259,0.000462259,0.000462259
75,19252.8,1.0275,0.51729,0.91842,0.93298,0.87039,0.93029,0.60668,1.1575,0.533,0.94643,0.000445756,0.000445756,0.000445756
