epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.115,0.94536,3.21476,0.9867,0.67099,0.64823,0.59596,0.48048,0.71946,1.50366,0.89947,0.000254528,0.000254528,0.000254528
2,892.929,0.75055,1.39391,0.90671,0.76971,0.90801,0.8539,0.71795,0.59974,0.9177,0.85118,0.000499623,0.000499623,0.000499623
3,1300.51,0.7025,1.05115,0.88445,0.83862,0.96129,0.88565,0.70639,0.75126,0.80168,0.88007,0.000733438,0.000733438,0.000733438
